,make,fuel-type,body-style,drive-wheels,wheel-base,engine-type,engine-size,fuel-system,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,alfa-romero,gas,convertible,rwd,88.6,dohc,130,mpfi,9.0,111.0,5000,21,27,13495
1,alfa-romero,gas,convertible,rwd,88.6,dohc,130,mpfi,9.0,111.0,5000,21,27,16500
2,alfa-romero,gas,hatchback,rwd,94.5,ohcv,152,mpfi,9.0,154.0,5000,19,26,16500
3,audi,gas,sedan,fwd,99.8,ohc,109,mpfi,10.0,102.0,5500,24,30,13950
4,audi,gas,sedan,4wd,99.4,ohc,136,mpfi,8.0,115.0,5500,18,22,17450
5,audi,gas,sedan,fwd,99.8,ohc,136,mpfi,8.5,110.0,5500,19,25,15250
6,audi,gas,sedan,fwd,105.8,ohc,136,mpfi,8.5,110.0,5500,19,25,17710
7,audi,gas,wagon,fwd,105.8,ohc,136,mpfi,8.5,110.0,5500,19,25,18920
8,audi,gas,sedan,fwd,105.8,ohc,131,mpfi,8.3,140.0,5500,17,20,23875
9,bmw,gas,sedan,rwd,101.2,ohc,108,mpfi,8.8,101.0,5800,23,29,16430
10,bmw,gas,sedan,rwd,101.2,ohc,108,mpfi,8.8,101.0,5800,23,29,16925
11,bmw,gas,sedan,rwd,101.2,ohc,164,mpfi,9.0,121.0,4250,21,28,20970
12,bmw,gas,sedan,rwd,101.2,ohc,164,mpfi,9.0,121.0,4250,21,28,21105
13,bmw,gas,sedan,rwd,103.5,ohc,164,mpfi,9.0,121.0,4250,20,25,24565
14,bmw,gas,sedan,rwd,103.5,ohc,209,mpfi,8.0,182.0,5400,16,22,30760
15,bmw,gas,sedan,rwd,103.5,ohc,209,mpfi,8.0,182.0,5400,16,22,41315
16,bmw,gas,sedan,rwd,110.0,ohc,209,mpfi,8.0,182.0,5400,15,20,36880
17,chevrolet,gas,hatchback,fwd,88.4,l,61,2bbl,9.5,48.0,5100,47,53,5151
18,chevrolet,gas,hatchback,fwd,94.5,ohc,90,2bbl,9.6,70.0,5400,38,43,6295
19,chevrolet,gas,sedan,fwd,94.5,ohc,90,2bbl,9.6,70.0,5400,38,43,6575
20,dodge,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.41,68.0,5500,37,41,5572
21,dodge,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6377
22,dodge,gas,hatchback,fwd,93.7,ohc,98,mpfi,7.6,102.0,5500,24,30,7957
23,dodge,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6229
24,dodge,gas,sedan,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6692
25,dodge,gas,sedan,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,7609
26,dodge,gas,sedan,fwd,93.7,ohc,98,mpfi,7.6,102.0,5500,24,30,8558
27,dodge,gas,wagon,fwd,103.3,ohc,122,2bbl,8.5,88.0,5000,24,30,8921
28,dodge,gas,hatchback,fwd,95.9,ohc,156,mfi,7.0,145.0,5000,19,24,12964
29,honda,gas,hatchback,fwd,86.6,ohc,92,1bbl,9.6,58.0,4800,49,54,6479
30,honda,gas,hatchback,fwd,86.6,ohc,92,1bbl,9.2,76.0,6000,31,38,6855
31,honda,gas,hatchback,fwd,93.7,ohc,79,1bbl,10.1,60.0,5500,38,42,5399
32,honda,gas,hatchback,fwd,93.7,ohc,92,1bbl,9.2,76.0,6000,30,34,6529
33,honda,gas,hatchback,fwd,93.7,ohc,92,1bbl,9.2,76.0,6000,30,34,7129
34,honda,gas,sedan,fwd,96.5,ohc,92,1bbl,9.2,76.0,6000,30,34,7295
35,honda,gas,wagon,fwd,96.5,ohc,92,1bbl,9.2,76.0,6000,30,34,7295
36,honda,gas,hatchback,fwd,96.5,ohc,110,1bbl,9.0,86.0,5800,27,33,7895
37,honda,gas,hatchback,fwd,96.5,ohc,110,1bbl,9.0,86.0,5800,27,33,9095
38,honda,gas,sedan,fwd,96.5,ohc,110,1bbl,9.0,86.0,5800,27,33,8845
39,honda,gas,sedan,fwd,96.5,ohc,110,1bbl,9.0,86.0,5800,27,33,10295
40,honda,gas,sedan,fwd,96.5,ohc,110,mpfi,9.0,101.0,5800,24,28,12945
41,honda,gas,sedan,fwd,96.5,ohc,110,2bbl,9.1,100.0,5500,25,31,10345
42,isuzu,gas,sedan,rwd,94.3,ohc,111,2bbl,8.5,78.0,4800,24,29,6785
43,isuzu,gas,hatchback,rwd,96.0,ohc,119,spfi,9.2,90.0,5000,24,29,11048
44,jaguar,gas,sedan,rwd,113.0,dohc,258,mpfi,8.1,176.0,4750,15,19,32250
45,jaguar,gas,sedan,rwd,113.0,dohc,258,mpfi,8.1,176.0,4750,15,19,35550
46,jaguar,gas,sedan,rwd,102.0,ohcv,326,mpfi,11.5,262.0,5000,13,17,36000
47,mazda,gas,hatchback,fwd,93.1,ohc,91,2bbl,9.0,68.0,5000,30,31,5195
48,mazda,gas,hatchback,fwd,93.1,ohc,91,2bbl,9.0,68.0,5000,31,38,6095
49,mazda,gas,hatchback,fwd,93.1,ohc,91,2bbl,9.0,68.0,5000,31,38,6795
50,mazda,gas,sedan,fwd,93.1,ohc,91,2bbl,9.0,68.0,5000,31,38,6695
51,mazda,gas,sedan,fwd,93.1,ohc,91,2bbl,9.0,68.0,5000,31,38,7395
52,mazda,gas,hatchback,rwd,95.3,rotor,70,4bbl,9.4,101.0,6000,17,23,10945
53,mazda,gas,hatchback,rwd,95.3,rotor,70,4bbl,9.4,101.0,6000,17,23,11845
54,mazda,gas,hatchback,rwd,95.3,rotor,70,4bbl,9.4,101.0,6000,17,23,13645
55,mazda,gas,hatchback,rwd,95.3,rotor,80,mpfi,9.4,135.0,6000,16,23,15645
56,mazda,gas,hatchback,fwd,98.8,ohc,122,2bbl,8.6,84.0,4800,26,32,8845
57,mazda,gas,sedan,fwd,98.8,ohc,122,2bbl,8.6,84.0,4800,26,32,8495
58,mazda,gas,hatchback,fwd,98.8,ohc,122,2bbl,8.6,84.0,4800,26,32,10595
59,mazda,gas,sedan,fwd,98.8,ohc,122,2bbl,8.6,84.0,4800,26,32,10245
60,mazda,diesel,sedan,fwd,98.8,ohc,122,idi,22.7,64.0,4650,36,42,10795
61,mazda,gas,hatchback,fwd,98.8,ohc,122,2bbl,8.6,84.0,4800,26,32,11245
62,mazda,gas,sedan,rwd,104.9,ohc,140,mpfi,8.0,120.0,5000,19,27,18280
63,mazda,diesel,sedan,rwd,104.9,ohc,134,idi,22.0,72.0,4200,31,39,18344
64,mercedes-benz,diesel,sedan,rwd,110.0,ohc,183,idi,21.5,123.0,4350,22,25,25552
65,mercedes-benz,diesel,wagon,rwd,110.0,ohc,183,idi,21.5,123.0,4350,22,25,28248
66,mercedes-benz,diesel,hardtop,rwd,106.7,ohc,183,idi,21.5,123.0,4350,22,25,28176
67,mercedes-benz,diesel,sedan,rwd,115.6,ohc,183,idi,21.5,123.0,4350,22,25,31600
68,mercedes-benz,gas,sedan,rwd,115.6,ohcv,234,mpfi,8.3,155.0,4750,16,18,34184
69,mercedes-benz,gas,convertible,rwd,96.6,ohcv,234,mpfi,8.3,155.0,4750,16,18,35056
70,mercedes-benz,gas,sedan,rwd,120.9,ohcv,308,mpfi,8.0,184.0,4500,14,16,40960
71,mercedes-benz,gas,hardtop,rwd,112.0,ohcv,304,mpfi,8.0,184.0,4500,14,16,45400
72,mercury,gas,hatchback,rwd,102.7,ohc,140,mpfi,8.0,175.0,5000,19,24,16503
73,mitsubishi,gas,hatchback,fwd,93.7,ohc,92,2bbl,9.4,68.0,5500,37,41,5389
74,mitsubishi,gas,hatchback,fwd,93.7,ohc,92,2bbl,9.4,68.0,5500,31,38,6189
75,mitsubishi,gas,hatchback,fwd,93.7,ohc,92,2bbl,9.4,68.0,5500,31,38,6669
76,mitsubishi,gas,hatchback,fwd,93.0,ohc,98,spdi,7.6,102.0,5500,24,30,7689
77,mitsubishi,gas,hatchback,fwd,96.3,ohc,110,spdi,7.5,116.0,5500,23,30,9959
78,mitsubishi,gas,hatchback,fwd,96.3,ohc,122,2bbl,8.5,88.0,5000,25,32,8499
79,mitsubishi,gas,hatchback,fwd,95.9,ohc,156,spdi,7.0,145.0,5000,19,24,12629
80,mitsubishi,gas,hatchback,fwd,95.9,ohc,156,spdi,7.0,145.0,5000,19,24,14869
81,mitsubishi,gas,hatchback,fwd,95.9,ohc,156,spdi,7.0,145.0,5000,19,24,14489
82,mitsubishi,gas,sedan,fwd,96.3,ohc,122,2bbl,8.5,88.0,5000,25,32,6989
83,mitsubishi,gas,sedan,fwd,96.3,ohc,122,2bbl,8.5,88.0,5000,25,32,8189
84,mitsubishi,gas,sedan,fwd,96.3,ohc,110,spdi,7.5,116.0,5500,23,30,9279
85,mitsubishi,gas,sedan,fwd,96.3,ohc,110,spdi,7.5,116.0,5500,23,30,9279
86,nissan,gas,sedan,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,5499
87,nissan,diesel,sedan,fwd,94.5,ohc,103,idi,21.9,55.0,4800,45,50,7099
88,nissan,gas,sedan,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,6649
89,nissan,gas,sedan,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,6849
90,nissan,gas,wagon,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,7349
91,nissan,gas,sedan,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,7299
92,nissan,gas,hatchback,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,7799
93,nissan,gas,sedan,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,7499
94,nissan,gas,wagon,fwd,94.5,ohc,97,2bbl,9.4,69.0,5200,31,37,7999
95,nissan,gas,hardtop,fwd,95.1,ohc,97,2bbl,9.4,69.0,5200,31,37,8249
96,nissan,gas,hatchback,fwd,97.2,ohc,120,2bbl,8.5,97.0,5200,27,34,8949
97,nissan,gas,sedan,fwd,97.2,ohc,120,2bbl,8.5,97.0,5200,27,34,9549
98,nissan,gas,sedan,fwd,100.4,ohcv,181,mpfi,9.0,152.0,5200,17,22,13499
99,nissan,gas,wagon,fwd,100.4,ohcv,181,mpfi,9.0,152.0,5200,17,22,14399
100,nissan,gas,sedan,fwd,100.4,ohcv,181,mpfi,9.0,152.0,5200,19,25,13499
101,nissan,gas,hatchback,rwd,91.3,ohcv,181,mpfi,9.0,160.0,5200,19,25,17199
102,nissan,gas,hatchback,rwd,91.3,ohcv,181,mpfi,7.8,200.0,5200,17,23,19699
103,nissan,gas,hatchback,rwd,99.2,ohcv,181,mpfi,9.0,160.0,5200,19,25,18399
104,peugot,gas,sedan,rwd,107.9,l,120,mpfi,8.4,97.0,5000,19,24,11900
105,peugot,diesel,sedan,rwd,107.9,l,152,idi,21.0,95.0,4150,28,33,13200
106,peugot,gas,wagon,rwd,114.2,l,120,mpfi,8.4,97.0,5000,19,24,12440
107,peugot,diesel,wagon,rwd,114.2,l,152,idi,21.0,95.0,4150,25,25,13860
108,peugot,gas,sedan,rwd,107.9,l,120,mpfi,8.4,95.0,5000,19,24,15580
109,peugot,diesel,sedan,rwd,107.9,l,152,idi,21.0,95.0,4150,28,33,16900
110,peugot,gas,wagon,rwd,114.2,l,120,mpfi,8.4,95.0,5000,19,24,16695
111,peugot,diesel,wagon,rwd,114.2,l,152,idi,21.0,95.0,4150,25,25,17075
112,peugot,gas,sedan,rwd,107.9,l,120,mpfi,8.4,97.0,5000,19,24,16630
113,peugot,diesel,sedan,rwd,107.9,l,152,idi,21.0,95.0,4150,28,33,17950
114,peugot,gas,sedan,rwd,108.0,l,134,mpfi,7.0,142.0,5600,18,24,18150
115,plymouth,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,37,41,5572
116,plymouth,gas,hatchback,fwd,93.7,ohc,98,spdi,7.6,102.0,5500,24,30,7957
117,plymouth,gas,hatchback,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6229
118,plymouth,gas,sedan,fwd,93.7,ohc,90,2bbl,9.4,68.0,5500,31,38,6692
119,plymouth,gas,sedan,fwd,93.7,ohc,98,2bbl,9.4,68.0,5500,31,38,7609
120,plymouth,gas,wagon,fwd,103.3,ohc,122,2bbl,8.5,88.0,5000,24,30,8921
121,plymouth,gas,hatchback,rwd,95.9,ohc,156,spdi,7.0,145.0,5000,19,24,12764
122,porsche,gas,hatchback,rwd,94.5,ohc,151,mpfi,9.5,143.0,5500,19,27,22018
123,porsche,gas,hardtop,rwd,89.5,ohcf,194,mpfi,9.5,207.0,5900,17,25,32528
124,porsche,gas,hardtop,rwd,89.5,ohcf,194,mpfi,9.5,207.0,5900,17,25,34028
125,porsche,gas,convertible,rwd,89.5,ohcf,194,mpfi,9.5,207.0,5900,17,25,37028
126,renault,gas,wagon,fwd,96.1,ohc,132,mpfi,8.7,103.45,?,23,31,9295
127,renault,gas,hatchback,fwd,96.1,ohc,132,mpfi,8.7,103.45,?,23,31,9895
128,saab,gas,hatchback,fwd,99.1,ohc,121,mpfi,9.31,110.0,5250,21,28,11850
129,saab,gas,sedan,fwd,99.1,ohc,121,mpfi,9.3,110.0,5250,21,28,12170
130,saab,gas,hatchback,fwd,99.1,ohc,121,mpfi,9.3,110.0,5250,21,28,15040
131,saab,gas,sedan,fwd,99.1,ohc,121,mpfi,9.3,110.0,5250,21,28,15510
132,saab,gas,hatchback,fwd,99.1,dohc,121,mpfi,9.0,160.0,5500,19,26,18150
133,saab,gas,sedan,fwd,99.1,dohc,121,mpfi,9.0,160.0,5500,19,26,18620
134,subaru,gas,hatchback,fwd,93.7,ohcf,97,2bbl,9.0,69.0,4900,31,36,5118
135,subaru,gas,hatchback,fwd,93.7,ohcf,108,2bbl,8.7,73.0,4400,26,31,7053
136,subaru,gas,hatchback,4wd,93.3,ohcf,108,2bbl,8.7,73.0,4400,26,31,7603
137,subaru,gas,sedan,fwd,97.2,ohcf,108,2bbl,9.5,82.0,4800,32,37,7126
138,subaru,gas,sedan,fwd,97.2,ohcf,108,2bbl,9.5,82.0,4400,28,33,7775
139,subaru,gas,sedan,fwd,97.2,ohcf,108,mpfi,9.0,94.0,5200,26,32,9960
140,subaru,gas,sedan,4wd,97.0,ohcf,108,2bbl,9.0,82.0,4800,24,25,9233
141,subaru,gas,sedan,4wd,97.0,ohcf,108,mpfi,7.7,111.0,4800,24,29,11259
142,subaru,gas,wagon,fwd,97.0,ohcf,108,2bbl,9.0,82.0,4800,28,32,7463
143,subaru,gas,wagon,fwd,97.0,ohcf,108,mpfi,9.0,94.0,5200,25,31,10198
144,subaru,gas,wagon,4wd,96.9,ohcf,108,2bbl,9.0,82.0,4800,23,29,8013
145,subaru,gas,wagon,4wd,96.9,ohcf,108,mpfi,7.7,111.0,4800,23,23,11694
146,toyota,gas,hatchback,fwd,95.7,ohc,92,2bbl,9.0,62.0,4800,35,39,5348
147,toyota,gas,hatchback,fwd,95.7,ohc,92,2bbl,9.0,62.0,4800,31,38,6338
148,toyota,gas,hatchback,fwd,95.7,ohc,92,2bbl,9.0,62.0,4800,31,38,6488
149,toyota,gas,wagon,fwd,95.7,ohc,92,2bbl,9.0,62.0,4800,31,37,6918
150,toyota,gas,wagon,4wd,95.7,ohc,92,2bbl,9.0,62.0,4800,27,32,7898
151,toyota,gas,wagon,4wd,95.7,ohc,92,2bbl,9.0,62.0,4800,27,32,8778
152,toyota,gas,sedan,fwd,95.7,ohc,98,2bbl,9.0,70.0,4800,30,37,6938
153,toyota,gas,hatchback,fwd,95.7,ohc,98,2bbl,9.0,70.0,4800,30,37,7198
154,toyota,diesel,sedan,fwd,95.7,ohc,110,idi,22.5,56.0,4500,34,36,7898
155,toyota,diesel,hatchback,fwd,95.7,ohc,110,idi,22.5,56.0,4500,38,47,7788
156,toyota,gas,sedan,fwd,95.7,ohc,98,2bbl,9.0,70.0,4800,38,47,7738
157,toyota,gas,hatchback,fwd,95.7,ohc,98,2bbl,9.0,70.0,4800,28,34,8358
158,toyota,gas,sedan,fwd,95.7,ohc,98,2bbl,9.0,70.0,4800,28,34,9258
159,toyota,gas,sedan,rwd,94.5,ohc,98,2bbl,9.0,70.0,4800,29,34,8058
160,toyota,gas,hatchback,rwd,94.5,ohc,98,2bbl,9.0,70.0,4800,29,34,8238
161,toyota,gas,sedan,rwd,94.5,dohc,98,mpfi,9.4,112.0,6600,26,29,9298
162,toyota,gas,hatchback,rwd,94.5,dohc,98,mpfi,9.4,112.0,6600,26,29,9538
163,toyota,gas,hardtop,rwd,98.4,ohc,146,mpfi,9.3,116.0,4800,24,30,8449
164,toyota,gas,hardtop,rwd,98.4,ohc,146,mpfi,9.3,116.0,4800,24,30,9639
165,toyota,gas,hatchback,rwd,98.4,ohc,146,mpfi,9.3,116.0,4800,24,30,9989
166,toyota,gas,hardtop,rwd,98.4,ohc,146,mpfi,9.3,116.0,4800,24,30,11199
167,toyota,gas,hatchback,rwd,98.4,ohc,146,mpfi,9.3,116.0,4800,24,30,11549
168,toyota,gas,convertible,rwd,98.4,ohc,146,mpfi,9.3,116.0,4800,24,30,17669
169,toyota,gas,sedan,fwd,102.4,ohc,122,mpfi,8.7,92.0,4200,29,34,8948
170,toyota,diesel,sedan,fwd,102.4,ohc,110,idi,22.5,73.0,4500,30,33,10698
171,toyota,gas,hatchback,fwd,102.4,ohc,122,mpfi,8.7,92.0,4200,27,32,9988
172,toyota,gas,sedan,fwd,102.4,ohc,122,mpfi,8.7,92.0,4200,27,32,10898
173,toyota,gas,hatchback,fwd,102.4,ohc,122,mpfi,8.7,92.0,4200,27,32,11248
174,toyota,gas,hatchback,rwd,102.9,dohc,171,mpfi,9.3,161.0,5200,20,24,16558
175,toyota,gas,hatchback,rwd,102.9,dohc,171,mpfi,9.3,161.0,5200,19,24,15998
176,toyota,gas,sedan,rwd,104.5,dohc,171,mpfi,9.2,156.0,5200,20,24,15690
177,toyota,gas,wagon,rwd,104.5,dohc,161,mpfi,9.2,156.0,5200,19,24,15750
178,volkswagen,diesel,sedan,fwd,97.3,ohc,97,idi,23.0,52.0,4800,37,46,7775
179,volkswagen,gas,sedan,fwd,97.3,ohc,109,mpfi,9.0,85.0,5250,27,34,7975
180,volkswagen,diesel,sedan,fwd,97.3,ohc,97,idi,23.0,52.0,4800,37,46,7995
181,volkswagen,gas,sedan,fwd,97.3,ohc,109,mpfi,9.0,85.0,5250,27,34,8195
182,volkswagen,gas,sedan,fwd,97.3,ohc,109,mpfi,9.0,85.0,5250,27,34,8495
183,volkswagen,diesel,sedan,fwd,97.3,ohc,97,idi,23.0,68.0,4500,37,42,9495
184,volkswagen,gas,sedan,fwd,97.3,ohc,109,mpfi,10.0,100.0,5500,26,32,9995
185,volkswagen,gas,convertible,fwd,94.5,ohc,109,mpfi,8.5,90.0,5500,24,29,11595
186,volkswagen,gas,hatchback,fwd,94.5,ohc,109,mpfi,8.5,90.0,5500,24,29,9980
187,volkswagen,gas,sedan,fwd,100.4,ohc,136,mpfi,8.5,110.0,5500,19,24,13295
188,volkswagen,diesel,sedan,fwd,100.4,ohc,97,idi,23.0,68.0,4500,33,38,13845
189,volkswagen,gas,wagon,fwd,100.4,ohc,109,mpfi,9.0,88.0,5500,25,31,12290
190,volvo,gas,sedan,rwd,104.3,ohc,141,mpfi,9.5,114.0,5400,23,28,12940
191,volvo,gas,wagon,rwd,104.3,ohc,141,mpfi,9.5,114.0,5400,23,28,13415
192,volvo,gas,sedan,rwd,104.3,ohc,141,mpfi,9.5,114.0,5400,24,28,15985
193,volvo,gas,wagon,rwd,104.3,ohc,141,mpfi,9.5,114.0,5400,24,28,16515
194,volvo,gas,sedan,rwd,104.3,ohc,130,mpfi,7.5,162.0,5100,17,22,18420
195,volvo,gas,wagon,rwd,104.3,ohc,130,mpfi,7.5,162.0,5100,17,22,18950
196,volvo,gas,sedan,rwd,109.1,ohc,141,mpfi,9.5,114.0,5400,23,28,16845
197,volvo,gas,sedan,rwd,109.1,ohc,141,mpfi,8.7,160.0,5300,19,25,19045
198,volvo,gas,sedan,rwd,109.1,ohcv,173,mpfi,8.8,134.0,5500,18,23,21485
199,volvo,diesel,sedan,rwd,109.1,ohc,145,idi,23.0,106.0,4800,26,27,22470
200,volvo,gas,sedan,rwd,109.1,ohc,141,mpfi,9.5,114.0,5400,19,25,22625
201,volvo,gas,sedan,rwd,109.1,ohc,141,mpfi,9.5,114.0,5400,19,25,22625
